Date,Open,High,Low,Close,Adj Close,Volume
2012-10-16,19.52,19.879999,20.23,19.49,19.49,20189700
2012-10-17,19.48,19.690001,19.64,19.299999,19.299999,21834700
2012-10-18,19.879999,20.48,19.75,19.370001,19.370001,44074500
2012-10-19,18.98,19.790001,19.52,18.889999,18.889999,52157400
2012-10-22,19.0,19.059999,19.52,18.799999,18.799999,34835000
2012-10-23,19.32,19.43,19.48,19.049999,19.049999,32447300
2012-10-24,19.5,19.799999,19.88,19.1,19.1,78381200
2012-10-25,23.23,24.25,18.98,22.85,22.85,228949900
2012-10-26,22.559999,23.309999,19.0,22.469999,22.469999,76142000
2012-10-31,21.940001,22.879999,19.32,21.879999,21.879999,73175800
2012-11-01,21.110001,21.5,19.5,20.73,20.73,99378200
2012-11-02,21.209999,21.440001,23.23,21.01,21.01,37713900
2012-11-05,21.18,21.690001,22.56,21.07,21.07,38344400
2012-11-06,21.25,21.48,21.94,20.92,20.92,31806700
2012-11-07,21.17,21.370001,21.11,20.99,20.99,29062700
2012-11-08,20.469999,20.950001,21.21,20.370001,20.370001,33396800
2012-11-09,19.99,20.73,21.18,19.98,19.98,34254600
2012-11-12,19.209999,20.0,21.25,19.129999,19.129999,42295500
2012-11-13,20.07,20.17,21.17,18.870001,18.870001,67349200
2012-11-14,19.860001,20.110001,20.47,19.559999,19.559999,71775100
2012-11-15,22.360001,22.5,19.99,19.93,19.93,229751000
2012-11-16,22.17,22.5,19.21,21.65,21.65,78857700
2012-11-19,23.559999,23.93,20.07,22.18,22.18,107182200
2012-11-20,22.92,24.120001,19.86,22.82,22.82,85021300
2012-11-21,23.1,23.9,22.36,22.700001,22.700001,46655300
2012-11-23,24.32,24.530001,22.17,23.049999,23.049999,89862400
2012-11-26,24.0,24.68,23.56,23.879999,23.879999,29520900
2012-11-27,25.940001,26.09,22.92,24.809999,24.809999,123865000
2012-11-28,26.15,26.5,23.1,25.459999,25.459999,85760600
2012-11-29,26.360001,26.49,24.32,25.75,25.75,49205600
2012-11-30,27.32,27.52,24.0,26.16,26.16,88759700
2012-12-03,28.0,28.0,25.94,26.76,26.76,127049600
2012-12-04,27.040001,28.879999,26.15,26.98,26.98,123526100
2012-12-05,27.459999,27.76,26.36,26.68,26.68,72869200
2012-12-06,27.709999,27.9,27.32,27.26,27.26,58976300
2012-12-07,26.969999,27.75,28.0,26.82,26.82,46001500
2012-12-10,27.49,27.780001,27.04,26.84,26.84,51751900
2012-12-11,27.84,28.17,27.46,27.1,27.1,50608500
2012-12-12,27.98,28.24,27.71,27.66,27.66,77099100
2012-12-13,27.58,28.139999,26.97,27.370001,27.370001,46704200
2012-12-14,28.24,28.75,27.49,27.43,27.43,81051600
2012-12-17,26.809999,28.33,27.84,26.76,26.76,91631600
2012-12-18,26.75,27.0,27.98,26.32,26.32,57742500
2012-12-19,27.709999,27.91,27.58,26.9,26.9,60512900
2012-12-20,27.41,28.219999,28.24,26.950001,26.950001,61390300
2012-12-21,27.360001,27.6,26.81,27.129999,27.129999,35574800
2012-12-26,26.93,26.959999,26.75,26.200001,26.200001,28230100
2012-12-27,26.51,27.18,27.71,26.379999,26.379999,33175400
2012-12-28,26.049999,26.799999,27.41,25.52,25.52,43481700
2013-01-02,26.620001,26.99,27.36,26.110001,26.110001,60374500
2013-01-03,28.0,28.18,26.93,27.42,27.42,69846400
2013-01-04,27.77,28.469999,26.51,27.59,27.59,63140600
2013-01-07,28.76,28.93,26.05,27.83,27.83,72715400
2013-01-08,29.42,29.790001,26.62,28.65,28.65,83781800
2013-01-09,29.059999,29.6,28.0,28.860001,28.860001,45871300
2013-01-10,30.59,30.6,27.77,29.49,29.49,104787700
2013-01-11,31.299999,31.450001,28.76,30.280001,30.280001,95316400
2013-01-14,31.719999,31.959999,29.42,31.1,31.1,89598000
2013-01-15,30.950001,32.209999,29.06,30.620001,30.620001,98892800
2013-01-16,30.1,31.709999,30.59,29.879999,29.879999,173242600
2013-01-17,29.85,30.35,31.3,29.530001,29.530001,75332700
2013-01-18,30.139999,30.42,31.72,30.030001,30.030001,40256700
2013-01-22,29.66,30.440001,30.95,29.27,29.27,49631500
2013-01-23,30.73,30.889999,30.1,29.74,29.74,55243300
2013-01-24,30.82,31.5,29.85,30.799999,30.799999,48899800
2013-01-25,31.08,31.49,30.14,30.809999,30.809999,43845100
2013-01-28,31.540001,31.93,29.66,31.129999,31.129999,54363600
2013-01-29,32.470001,32.509998,30.73,31.809999,31.809999,59682500
2013-01-30,30.790001,32.07,30.82,30.709999,30.709999,72976500
2013-01-31,31.24,31.49,31.08,30.879999,30.879999,87682100
2013-02-01,30.98,31.469999,31.54,28.74,28.74,190744900
2013-02-04,29.73,31.02,32.47,29.629999,29.629999,85856700
2013-02-05,28.110001,29.200001,30.79,28.01,28.01,92362200
2013-02-06,28.639999,28.959999,31.24,28.040001,28.040001,47948200
2013-02-07,29.049999,29.290001,30.98,28.66,28.66,38375900
2013-02-08,28.65,29.15,29.73,28.27,28.27,34540100
2013-02-11,28.549999,29.17,28.11,28.51,28.51,37708800
2013-02-12,28.26,28.68,28.64,28.040001,28.040001,37361800
